;Chapter 1;Chapter 2;Chapter 3;Chapter 4;Chapter 5;Chapter 6;Chapter 7;Chapter 8;Chapter 9;Chapter 10;Chapter 11;Chapter 12
1;alice;alice;said;alice;said;said;said;said;said;said;said;said
2;little;little;alice;little;alice;alice;alice;alice;alice;gryphon;king;king
3;way;mouse;mouse;one;caterpillar;cat;hatter;queen;mock;alice;hatter;alice
4;think;im;dodo;said;im;like;dormouse;head;turtle;turtle;alice;would
5;like;said;know;rabbit;pigeon;duchess;march;three;gryphon;mock;court;little
6;see;dear;soon;heard;little;little;hare;king;duchess;would;dormouse;jury
7;one;go;one;get;well;much;time;one;queen;dance;one;know
8;said;thought;round;thought;serpent;mad;know;went;went;beautiful;witness;queen
9;time;must;dry;sure;ive;would;well;cat;never;soup;queen;white
10;could;went;would;bill;think;baby;one;began;little;wont;rabbit;one
11;thought;oh;long;made;know;know;went;two;dont;voice;began;rabbit
12;went;like;lory;came;one;could;thing;soldiers;know;join;thought;gave
13;would;way;thing;window;got;thought;say;like;say;whiting;im;nothing
14;eat;pool;question;thing;last;went;little;came;quite;know;white;could
15;door;feet;prizes;quite;see;footman;twinkle;see;moral;like;march;head
16;get;cried;little;moment;tried;see;think;looked;like;could;voice;theres
17;well;could;must;like;bit;get;dont;dont;day;replied;next;voice
18;found;one;quite;went;dont;quite;replied;gardeners;come;come;see;sister
19;nothing;ill;birds;room;size;way;tea;round;thought;lobster;jury;must
20;say;cats;could;great;cant;door;draw;going;much;soooop;tarts;dream
